doc_id,file_name,title,year,organization,source_url,status_rule
DOC-029,DOC-029_GPSNR_Reporting_Requirements_2024.pdf,GPSNR Reporting Requirements,2024,Global Platform for Sustainable Natural Rubber (GPSNR),https://sustainablenaturalrubber.org/gpsnr-reporting-requirements/,RETAIN_CONVERTED_SOURCE_PDF
DOC-030,DOC-030_GTFI_Boas_Praticas_Fornecedores_Indiretos_2019.pdf,Boas Práticas para monitoramento de fornecedores indiretos,2019,Grupo de Trabalho de Fornecedores Indiretos (GTFI),https://gtfi.org.br/boas-praticas/,RETAIN_CONVERTED_SOURCE_PDF
DOC-064,DOC-064_RSZPO_GeoRSPO_Platform_2019.pdf,GeoRSPO platform,2019,Roundtable on Sustainable Palm Oil (RSPO),https://rspo.org/as-an-organisation/tools/georspo/,RETAIN_CONVERTED_SOURCE_PDF
DOC-050,DOC-050_Preferred_by_Nature_Risk_Assessment_Methodology_2017.pdf,Preferred by Nature Risk Assessment Methodology,2017,Preferred by Nature,https://sourcinghub.preferredbynature.org/RiskAssessmentmethodology,RETAIN_CONVERTED_SOURCE_PDF
