category,term_id,canonical_term,search_variant,variant_type,roll_up_to_canonical,active,include_in_visuals,notes
Farm level terms,TERM-033,productive land,productive land,base,yes,yes,yes,
Farm level terms,TERM-034,property,property,base,yes,yes,yes,
Farm level terms,TERM-035,ranch,ranch,base,yes,yes,yes,
Farm level terms,TERM-035,ranch,paddock,variant,yes,yes,yes,
Jurisdictional terms,TERM-036,area,area,base,yes,yes,yes,
Jurisdictional terms,TERM-036,area,sourcing area,variant,yes,yes,yes,
Jurisdictional terms,TERM-036,area,catchment area,variant,yes,yes,yes,
Jurisdictional terms,TERM-037,catchment,catchment,base,yes,yes,yes,
Jurisdictional terms,TERM-037,catchment,sourcing catchment,variant,yes,yes,yes,
Jurisdictional terms,TERM-038,district,district,base,yes,yes,yes,
Jurisdictional terms,TERM-038,district,subdistrict,variant,yes,yes,yes,
Jurisdictional terms,TERM-038,district,sub-district,variant,yes,yes,yes,
Jurisdictional terms,TERM-039,jurisdiction,jurisdiction,base,yes,yes,yes,
Jurisdictional terms,TERM-039,jurisdiction,jurisdictional,variant,yes,yes,yes,
Jurisdictional terms,TERM-040,landscape,landscape,base,yes,yes,yes,
Jurisdictional terms,TERM-041,municipality,municipality,base,yes,yes,yes,
Jurisdictional terms,TERM-042,province,province,base,yes,yes,yes,
Jurisdictional terms,TERM-043,region,region,base,yes,yes,yes,
Jurisdictional terms,TERM-043,region,sourcing region,variant,yes,yes,yes,
Jurisdictional terms,TERM-043,region,supply region,variant,yes,yes,yes,
Jurisdictional terms,TERM-043,region,region of origin,variant,yes,yes,yes,
Jurisdictional terms,TERM-043,region,origin,variant,yes,yes,yes,
search topic,TERM-044,agriculture,agriculture,base,yes,yes,no,
search topic,TERM-045,alerts,alerts,base,yes,yes,no,
search topic,TERM-046,biome,biome,base,yes,yes,no,
search topic,TERM-047,brazil,brazil,base,yes,yes,no,
search topic,TERM-048,cerrado,cerrado,base,yes,yes,no,
search topic,TERM-049,chaco,chaco,base,yes,yes,no,
search topic,TERM-050,chain of custody,chain of custody,base,yes,yes,no,
search topic,TERM-050,chain of custody,COC,variant,yes,yes,no,
search topic,TERM-050,chain of custody,chain-of-custody,variant,yes,yes,no,
search topic,TERM-051,commodity sourcing,commodity sourcing,base,yes,yes,no,
search topic,TERM-052,compliance,compliance,base,yes,yes,no,
search topic,TERM-053,conversion,conversion,base,yes,yes,no,
search topic,TERM-053,conversion,ecosystem conversion,variant,yes,yes,no,
search topic,TERM-054,data,data,base,yes,yes,no,
search topic,TERM-055,datasets,datasets,base,yes,yes,no,
search topic,TERM-056,dcf,dcf,base,yes,yes,no,
search topic,TERM-057,deforestation,deforestation,base,yes,yes,no,
search topic,TERM-058,ecosystem,ecosystem,base,yes,yes,no,
search topic,TERM-058,ecosystem,biome,variant,yes,yes,no,
search topic,TERM-058,ecosystem,bioma,variant,yes,yes,no,
search topic,TERM-058,ecosystem,grassland,variant,yes,yes,no,
search topic,TERM-058,ecosystem,shrubland,variant,yes,yes,no,
search topic,TERM-058,ecosystem,savannah,variant,yes,yes,no,
search topic,TERM-058,ecosystem,wetland,variant,yes,yes,no,
search topic,TERM-058,ecosystem,peatland,variant,yes,yes,no,
search topic,TERM-059,embargo,embargo,base,yes,yes,no,
search topic,TERM-060,eudr,eudr,base,yes,yes,no,
search topic,TERM-060,eudr,deforestation regulation,variant,yes,yes,no,
search topic,TERM-061,forest,forest,base,yes,yes,no,
search topic,TERM-062,framework,framework,base,yes,yes,no,
search topic,TERM-063,geographic,geographic,base,yes,yes,no,
search topic,TERM-064,geospatial,geospatial,base,yes,yes,no,
search topic,TERM-064,geospatial,geospatial monitoring,variant,yes,yes,no,
search topic,TERM-065,gis,gis,base,yes,yes,no,
search topic,TERM-066,guidance,guidance,base,yes,yes,no,
search topic,TERM-067,land-use change,land-use change,base,yes,yes,no,
search topic,TERM-067,land-use change,land use change,variant,yes,yes,no,
search topic,TERM-067,land-use change,LUC,variant,yes,yes,no,
search topic,TERM-068,mapping,mapping,base,yes,yes,no,
search topic,TERM-069,monitoring,monitoring,base,yes,yes,no,
search topic,TERM-070,native vegetation,native vegetation,base,yes,yes,no,
search topic,TERM-071,pantanal,pantanal,base,yes,yes,no,
search topic,TERM-072,remote sensing,remote sensing,base,yes,yes,no,
search topic,TERM-073,satellite,satellite,base,yes,yes,no,
search topic,TERM-074,supply chains,supply chains,base,yes,yes,no,
search topic,TERM-075,sustainability,sustainability,base,yes,yes,no,
search topic,TERM-076,traceability,traceability,base,yes,yes,no,
Supply chain terms,TERM-077,aggregator,aggregator,base,yes,yes,yes,
Supply chain terms,TERM-077,aggregator,aggregation point,variant,yes,yes,yes,
Supply chain terms,TERM-077,aggregator,first point,variant,yes,yes,yes,
Supply chain terms,TERM-078,barge head,barge head,base,yes,yes,yes,
Supply chain terms,TERM-078,barge head,barge,variant,yes,yes,yes,
Supply chain terms,TERM-079,bin,bin,base,yes,yes,yes,
Supply chain terms,TERM-080,buying agent,buying agent,base,yes,yes,yes,
Supply chain terms,TERM-081,buying station,buying station,base,yes,yes,yes,
Supply chain terms,TERM-082,cooperative,cooperative,base,yes,yes,yes,
Supply chain terms,TERM-082,cooperative,coop,variant,yes,yes,yes,
Supply chain terms,TERM-083,elevator,elevator,base,yes,yes,yes,
Supply chain terms,TERM-084,facility,facility,base,yes,yes,yes,
Supply chain terms,TERM-084,facility,processing facility,variant,yes,yes,yes,
Supply chain terms,TERM-084,facility,factory,variant,yes,yes,yes,
Supply chain terms,TERM-085,farmer group,farmer group,base,yes,yes,yes,
Supply chain terms,TERM-085,farmer group,producer-group,variant,yes,yes,yes,
Supply chain terms,TERM-085,farmer group,producer group,variant,yes,yes,yes,
Supply chain terms,TERM-085,farmer group,farmer association,variant,yes,yes,yes,
Supply chain terms,TERM-085,farmer group,farmer-organization,variant,yes,yes,yes,
Supply chain terms,TERM-085,farmer group,farmer organization,variant,yes,yes,yes,
Supply chain terms,TERM-086,ginner,ginner,base,yes,yes,yes,
Supply chain terms,TERM-086,ginner,gin,variant,yes,yes,yes,
Supply chain terms,TERM-087,logistics hub,logistics hub,base,yes,yes,yes,
Supply chain terms,TERM-087,logistics hub,hub,variant,yes,yes,yes,
Supply chain terms,TERM-088,mill,mill,base,yes,yes,yes,
Supply chain terms,TERM-089,port,port,base,yes,yes,yes,
Supply chain terms,TERM-090,refinery,refinery,base,yes,yes,yes,
Supply chain terms,TERM-091,silo,silo,base,yes,yes,yes,
Supply chain terms,TERM-091,silo,storage site,variant,yes,yes,yes,
Supply chain terms,TERM-092,slaughterhouse,slaughterhouse,base,yes,yes,yes,
Supply chain terms,TERM-093,supplier,supplier,base,yes,yes,yes,
Supply chain terms,TERM-094,supply shed,supply shed,base,yes,yes,yes,
Supply chain terms,TERM-094,supply shed,supplyshed,variant,yes,yes,yes,
Supply chain terms,TERM-094,supply shed,market shed,variant,yes,yes,yes,
Supply chain terms,TERM-094,supply shed,supply-shed,variant,yes,yes,yes,
Supply chain terms,TERM-095,terminal,terminal,base,yes,yes,yes,
Supply chain terms,TERM-095,terminal,road terminal,variant,yes,yes,yes,
Supply chain terms,TERM-095,terminal,rail terminal,variant,yes,yes,yes,
Supply chain terms,TERM-096,trading board,trading board,base,yes,yes,yes,
Supply chain terms,TERM-097,warehouse,warehouse,base,yes,yes,yes,
Supply chain terms,TERM-098,wholesaler,wholesaler,base,yes,yes,yes,
Supply chain terms,TERM-098,wholesaler,wholesale market,variant,yes,yes,yes,
